Date(UTC),Price,MarketCap,Supply,TxGrowth,AddressCount,BlockSize,BlockTime,AvgGasPrice,GasUsed,NetworkHash,TransactionFee,NetworkUtilization,BlockReward
2015-08-07,2.77,200.215391038125,72279924.5625,2050,10314,633,16.65,604684154870,49353826,95.2981,37318413511279304835,0.1317,27437.65625
2015-08-08,0.81,58.56937308,72307868.0,2881,10730,668,16.44,322713574989,376006093,104.8971,68099970071856826797,0.0468,27943.4375
2015-08-09,0.74,53.527934248125,72335046.28125,1329,11004,618,16.86,475467129048,38863003,109.6916,14098949703205590944,0.0024,27178.28125
2015-08-10,0.68,49.206747265,72362863.625,2037,11679,631,16.44,421654904254,74070061,120.5988,31165144438378735884,0.0045,27817.34375
2015-08-11,1.06,76.73434492375,72390891.4375,4963,13576,692,16.37,77838819162,163481740,134.7695,11311448586019755030,0.0099,28027.8125
2015-08-12,1.25,90.52282796875,72418262.375,2036,13913,653,16.86,444902379011,70102332,143.0004,32586992404377741650,0.0044,27370.9375
2015-08-13,1.78,128.95482429,72446530.5,2842,14459,666,16.34,268683475202,88234087,156.6101,24929169109943118841,0.0053,28268.125
2015-08-14,1.8,130.45974699375,72477637.21875,3174,15024,660,14.88,193455494453,78746522,196.7576,14354834112827458118,0.0043,31106.71875
2015-08-15,1.79,129.78600827625,72506149.875,2284,15407,638,16.04,144368937208,59565914,227.665,8836593028046850811,0.0035,28512.65625
2015-08-16,1.37,99.3705448365625,72533244.40625,2440,15698,641,16.84,120940093311,58241191,231.8948,6677237924905556046,0.0036,27094.53125
2015-08-17,1.2,87.073635975,72561363.3125,2512,15984,635,16.16,132149993345,60515132,258.9066,7642811839634956979,0.0036,28118.90625
2015-08-18,1.27,92.18615817875,72587526.125,2494,16268,648,17.46,146513014268,66816413,270.4645,11906071340176042601,0.0043,26162.8125
2015-08-19,1.26,91.494658276875,72614808.15625,3246,16553,653,16.64,194583349948,91746712,284.0496,15430950669480218002,0.0056,27282.03125
2015-08-20,1.48,107.5010804775,72635865.1875,2303,16773,650,21.47,99011782801,63112713,221.4382,6855566942706630722,0.005,21057.03125
2015-08-21,1.44,104.63408082,72662556.125,3919,17070,668,16.98,79543407701,106379973,277.282,7855041724705318491,0.0067,26690.9375
2015-08-22,1.39,101.0392481653125,72690106.59375,3579,17313,648,16.39,552841333007,90744195,312.6127,42547171829582457556,0.0055,27550.46875
2015-08-23,1.35,98.1670889953125,72716362.21875,4190,17662,681,17.24,73439482806,117802449,317.1623,8049767672901801716,0.0075,26255.625
2015-08-24,1.24,90.20218242,72743695.5,4432,17839,673,16.67,92409814705,97648912,333.3458,8876285419798610754,0.006,27333.28125
2015-08-25,1.17,85.1414049646875,72770431.59375,4487,18089,680,16.95,76432335617,114480057,325.2465,8259755825110535782,0.0071,26736.09375
2015-08-26,1.16,84.4440206925,72796569.5625,4156,18298,669,17.27,60481160549,99511209,343.1277,7447729278556984663,0.0063,26137.96875
