"username","id","time","likes","retweets","text"
"AriDavidPaul","1261050260304154626","2020-05-14 21:46:25","14","1","Alternative caption (credit you @AsdrubalHY): here we see the famed and feared miner capitulation. https://t.co/go9Rb5YCgX"
"AriDavidPaul","1261049986093113350","2020-05-14 21:45:20","0","0","@AsdrubalHY Dang, that’s a much better caption than mine!"
"AriDavidPaul","1261049392590700544","2020-05-14 21:42:59","24","0","This is an upgrade to the S9 miner...the new K9.  🤦‍♂️😅🤦‍♂️  I’ll be here all night folks."
"AriDavidPaul","1261048957842661379","2020-05-14 21:41:15","5","0","@CraigChrist_ @RampCapitalLLC I think he once did recommend “how to win friends”, for real.   Maybe it was in The Snowball.   Not sure."
"AriDavidPaul","1261046760157347842","2020-05-14 21:32:31","1","0","@jonathanmarcus Oh yea, she’s stubborn.  “Shiba Inus are smart enough to do tricks....but won’t.”"
"AriDavidPaul","1261035378234085376","2020-05-14 20:47:17","1","0","@cullenroche Are you saying that equities aren’t sustainably priced higher, all else equal, if real rates fall?"
"AriDavidPaul","1261034963501305865","2020-05-14 20:45:38","172","5","I told Akira that mining bitcoin was a little bit like how she digs for acorns.  She got to work immediately, but was soon tired out. https://t.co/MHTqtgBqBO"
"AriDavidPaul","1261033073816240129","2020-05-14 20:38:08","3","0","@cullenroche 2/ just think of a single corporate bond.  If nothing changes at all except real interest rates fall, what happens and why?  The bond price rises, despite no change at all to anything other than the real interest rate."
"AriDavidPaul","1261032833495293956","2020-05-14 20:37:11","4","0","@cullenroche Huh?  No.  Future cash flows are simply worth more today if interest rates are lower.  No change in behavior necessary.  No change in fundamentals necessary.  It’s just that the present value of future cash flows is greater."
"AriDavidPaul","1261032192387493900","2020-05-14 20:34:38","1","0","@cullenroche 4/ it’s the flip side of the waves of selling that trickle down from the fundamentally weakest equities into unrelated and sound assets."
"AriDavidPaul","1261031999097024512","2020-05-14 20:33:52","2","0","@cullenroche 3/ yes this is an oversimplification, but captures the same basic dynamic that causes all assets to sell off together in a panic."
"AriDavidPaul","1261031845879300098","2020-05-14 20:33:15","5","0","@cullenroche 2/ when you buy an asset from an investor, do they just sit on cash?  Usually not.  They deploy it into something else.  Buy up the treasuries, your force investors in IG debt.  Those investors buy it from others who are forced into junk.  Those sellers are forced into equity,"
"AriDavidPaul","1261031537350500352","2020-05-14 20:32:01","5","0","@cullenroche Mostly agree that it doesn’t improve economic fundamentals.  But when you lower the discount rate, the same future cash flows are worth more today, so equities rise (relative to where they would otherwise be.). And...there’s an even more direct effect."
"AriDavidPaul","1261029545618157569","2020-05-14 20:24:07","10","0","@cullenroche That’s like saying that patients treated for gunshot wounds on the operating table don’t live longer than patients who didn’t get shot, so doctors have little effect."
"AriDavidPaul","1261016345015173120","2020-05-14 19:31:39","4","0","@stephendpalley With innovation, there’s usually some tears and some lasting successes.  I think Preston at one point declared he was right on ICOs, yet we have ETH seemingly grandfathered one, and BlockOne with a slap on the wrist.  Many entrepreneurs would love “tears” like that."
"AriDavidPaul","1260936672256155648","2020-05-14 14:15:04","1","0","@jeffreyatucker Huh?  Lockdowns for pandemics predates his birth by decades.  I doubt Taiwan or South Korea based their lockdowns on anything from him."
"AriDavidPaul","1260936262279671808","2020-05-14 14:13:26","112","2","@FiveRights TDS is forgetting that Trump started his political career with the birther movement - literally 6 years of claiming that Obama was an African born secret Muslim....now he's shifted to just lying about basic medical information.  ""everyone who wants a test is getting one""..."
"AriDavidPaul","1260929065814577152","2020-05-14 13:44:50","2","0","@stephendpalley @valkenburgh I will after you post a court filing of yours containing that term.  Pinky swear."
"AriDavidPaul","1260922543210467335","2020-05-14 13:18:55","1","0","@valkenburgh @stephendpalley Agreed.  We'd be as cloying as a mix of pepsi and mountain dew.  As overwrought overwrought as a chihuhua in an ugly sweater."
