"username","id","time","likes","retweets","text"
"arrington","1261107275730546688","2020-05-15 01:32:59","69","22","Astonishingly, we need someone to start archiving Wayback Machine. I truly thought it was one of the incorruptible parts of the internet. https://t.co/dcO3IKeSsX"
"arrington","1261102342058831874","2020-05-15 01:13:23","99","8","Friends are telling  me their landlords in California, previously quite rude, are suddenly lovely people and super happy to accommodate. Interesting."
"arrington","1260999407366856704","2020-05-14 18:24:21","14","0","@ZubyMusic One of the greatest living thinkers."
"arrington","1260982358645170176","2020-05-14 17:16:36","0","0","@alex @jrichlive I don't know the specifics or the articles you're thinking of, but in Silicon Valley it generally is true that the media is out to get them."
"arrington","1260975257218736128","2020-05-14 16:48:23","7","0","I feel like I met this guy every day driving to work when I  lived in LA. https://t.co/fzGtrfG7FH"
"arrington","1260969568203272192","2020-05-14 16:25:47","0","192","RT @avichal: Asking public health officials when lockdown should end is like asking a lawyer when your product should ship."
"arrington","1260698497319178240","2020-05-13 22:28:39","27","5","Excited to be invited the Huobi x Consensus event! \nHuobi will rebrand #HuobiFutures along with panel insights into the cryptocurrency market.\nNetwork with me and others- see you there :https://t.co/UldPtA32oO\n#HuobiConsensus2020\n@HuobiGlobal @HuobiDM_Futures @CiaraHuobi https://t.co/Zfe4moUDRO"
"arrington","1260619546479792130","2020-05-13 17:14:55","2","0","@allenf32 still too long."
"arrington","1260447139458621443","2020-05-13 05:49:50","0","54","RT @TechCrunch: Fun fact: Sequoia has made 10 investments over Zoom since the coronavirus pandemic forced us to stay at home. https://t.co/…"
"arrington","1260446793785098243","2020-05-13 05:48:28","0","18","RT @avichal: This is not the end of Silicon Valley. Tech's global center of gravity for another decade is still SV.\n\nBut even 20% of people…"
"arrington","1260263864781828097","2020-05-12 17:41:34","2","0","@denis20731349 Yep! Since WWII."
"arrington","1260263349410951169","2020-05-12 17:39:31","4","0","@NischalShetty It's not that. It's because it's properly decentralized. But they can very easily stop the (digital) fiat onramps."
"arrington","1260263012214222850","2020-05-12 17:38:11","33","18","Telegram Abandons TON Blockchain Project After Court Fight With SEC https://t.co/LpPRwvFj1I via @coindesk"
"arrington","1260261287860162561","2020-05-12 17:31:20","71","13","The U.S. government's argument that Telegram's TON cannot exist anywhere because Americans may use it somehow is absurd. That other countries just roll over, is even worse.  Thank GOD they can't stop BTC so easily.  https://t.co/mUQ1Mhpqdo https://t.co/ky6lNNAAL2"
"arrington","1259969363269971968","2020-05-11 22:11:19","2","0","@MikePrestoncw12 I’ll be bullish on BTC until my dying breath."
"arrington","1259967627570503680","2020-05-11 22:04:26","205","23","Just 1,458 days until the next BTC halvening!"
"arrington","1259200787244134400","2020-05-09 19:17:17","1","0","@Jen_Valenti @morningmoneyben so what happens next?"
"arrington","1258995344928419840","2020-05-09 05:40:55","5","0","@dgp Yeah it's funny enough. But tech really does deserve reporters that actually like the industry."
"arrington","1258950321155407872","2020-05-09 02:42:01","41","0","I never ran into this problem. Might be the person asking the questions. And their history of twisting the answers to fit a narrative. https://t.co/WEO7uENT5B"
"arrington","1258913437305847808","2020-05-09 00:15:27","21","1","🍿 https://t.co/TfJycFkfa3"
"arrington","1258853891753443329","2020-05-08 20:18:50","0","3","RT @allenf32: the biggest structural change wrought by the virus? the societal demon of ""celebrities"" will be exorcised. it will be kindlin…"
"arrington","1258851439620718592","2020-05-08 20:09:06","0","43606","RT @gretaleejackson: Thanks celebrities, for everything you do for us.\n#giveusyourmoney https://t.co/URCaZQmGiE"
"arrington","1258455877540929536","2020-05-07 17:57:16","0","2","RT @newsyc20: The Cost of Free Doughnuts: 70 Years of Regret https://t.co/lBWvLLx1mW (https://t.co/Lr3Q2kfEw7)"
"arrington","1258455228111708160","2020-05-07 17:54:42","202","64","A charity that buys medical debt of low income people and then forgives it. What a beautiful idea. Imagine being hounded by debt collectors, ready to give up, and then this happens. RIP Medical Debt - https://t.co/qDdfalZ2r9 @RIPMedicalDebt"
"arrington","1258300052298059776","2020-05-07 07:38:05","33","0","Just looked at a very full bookshelf, wondering why I can’t digitally search for a title. Scanning book spines is slow af"
"arrington","1258294852179001344","2020-05-07 07:17:25","3","0","@allenf32 Have you read The Dictators Handbook? I like the way he thinks about how different kinds of governments operate.  In particular, how democracies do a lot of their dirty work through other countries."
"arrington","1258294004292055040","2020-05-07 07:14:03","4","0","@davidjamesdiaz I imagine the feds will get involved in this pretty quickly now"
"arrington","1258281846581821441","2020-05-07 06:25:44","271","85","These men must be put on trial. The fact that one of the men is a former police detective is apparently why they haven’t been charged. Atrocious. Disgusted. https://t.co/sB2P2NfjkU https://t.co/wHsenoYZue"
"arrington","1258226555412574208","2020-05-07 02:46:02","32","6","Are home prices going to drop or not @glennkelman @NataliePropy ? https://t.co/CqfWslKdki"
"arrington","1258212274382049280","2020-05-07 01:49:17","6","0","❤️ https://t.co/fx8ThfM8HG"
"arrington","1258203961695191040","2020-05-07 01:16:15","129","2","@seanmdav He seems like a really nice fellow."
"arrington","1258194403438391296","2020-05-07 00:38:16","4","0","@JaredPetey5 @allenf32 Taught by who? The media fawns over the CCP."
"arrington","1258153635386540032","2020-05-06 21:56:16","3","0","@jenzhuscott @allenf32 https://t.co/3rppiRUdxe"
"arrington","1258152069908717573","2020-05-06 21:50:03","3","0","@jeffjohnroberts Well since software is eating the world your future is bleak, east coast man. :)"
"arrington","1258151081906810880","2020-05-06 21:46:07","8","0","@jeffjohnroberts No. The world revolves around pacific time. It’s so annoying when NYers are like “let’s do a 10 am call” like anyone wants to be up talking to you at 7 am PT https://t.co/Q56L79tD5H"
"arrington","1258112772409135104","2020-05-06 19:13:54","2","0","@Paul__Walsh @TheCryptoDog @allenf32 Now you're apologizing like a canadian :-) (Just messing with you)"
"arrington","1258111121157840896","2020-05-06 19:07:20","0","38","RT @amysundae: Every startup founded this year and next will be fully remote by default.  \n\nThe next vintage of important tech companies/em…"
"arrington","1258110939234070528","2020-05-06 19:06:37","0","12","RT @tatianakoffman: Three frontline health care workers have mysteriously fallen out of hospital windows in Russia over the past two weeks,…"
"arrington","1258109850858467328","2020-05-06 19:02:17","2","0","@Paul__Walsh @TheCryptoDog @allenf32 Internationally it's more contempt than hatred or pity. I see it daily from my non US friends, including Paul."
"arrington","1258109405591150596","2020-05-06 19:00:31","2","0","@TheCryptoDog @allenf32 from the well educated, definitely. See @DoveyWan for a perfect example of that."
"arrington","1258101225431502848","2020-05-06 18:28:01","1","0","@allenf32 I have many (well educated) Chinese friends. They say very different things on wechat v. telegram. Not sure about the masses though. They don't really trust CCP, but they are full of nationalistic pride and anger at the west. They are taught to outright hate americans"
"arrington","1258100442027851778","2020-05-06 18:24:54","0","1","RT @RonP: this is going to build momentum now that the full scope of the impact is understood. https://t.co/k4wCiSuWcV https://t.co/QcqyxS8…"
"arrington","1258083967703515136","2020-05-06 17:19:26","2","0","@allenf32 just do a TikTok version for the people who can't be bothered to read something longer than a tweet."
"arrington","1257915334155137024","2020-05-06 06:09:21","3","0","Another absolutely brilliant essay by @allenf32. https://t.co/jiBopzCYyP"
"arrington","1257851796107571200","2020-05-06 01:56:52","0","23","RT @d0h0k1: $LUNA #3 only after BTC and ETH in total tx fee income @terra_money https://t.co/wtUfOnB7bZ"
"arrington","1257775799823855617","2020-05-05 20:54:53","26","5","seconds 42-45...I can't stop laughing. Canada is amazing. https://t.co/E3I14Vzbht https://t.co/2Sni2FrK8L"
"arrington","1257741876959969281","2020-05-05 18:40:05","0","181","RT @JoelKatz: Today's the day! Listen to #BlockStars and let me know some of your favorite discussion topics. https://t.co/QKnACiS9FK"
"arrington","1257739144156999681","2020-05-05 18:29:14","1","0","@eastdakota sorry fell asleep. Not because of your tweets."
"arrington","1257738921649168386","2020-05-05 18:28:21","16","0","@JoelKatz Will it be available on Apple podcast?"
