"username","id","time","likes","retweets","text"
"bgarlinghouse","1257762871846424577","2020-05-05 20:03:31","1394","263","I could listen to @JoelKatz talk about anything (seriously), and now you can too! #BlockStars launches today. https://t.co/R5ZaFBfShY"
"bgarlinghouse","1255561431262486528","2020-04-29 18:15:47","2166","388","Well, @YouTube, this is awkward… https://t.co/yMNwzpjoSh https://t.co/tTMwaDlUqB"
"bgarlinghouse","1253377160376532992","2020-04-23 17:36:16","804","180","It’s evident that #COVID19 is disproportionately impacting low-income communities- in part because of limited access to resources. Thank you to @Tippingpoint and its grantees serving a crucial need here in the Bay Area. If you are able, please donate here: https://t.co/p13nmuADJw https://t.co/uoxfBOhvVv"
"bgarlinghouse","1252652105212366848","2020-04-21 17:35:09","1767","172","In times like these, when consumers already feel vulnerable, it’s more important than ever to protect people from these rampant scams. (4/4)"
"bgarlinghouse","1252652104239308800","2020-04-21 17:35:09","1022","133","YouTube’s inertia is indicative of an industry-wide problem of a lack of accountability. Victims are forced to jump through hoops to report these scams, and oftentimes that doesn’t even work - ex: when @Instagram told me I wasn’t being impersonated (3/4) https://t.co/ILhS0AcPb2"
"bgarlinghouse","1252652102507257856","2020-04-21 17:35:09","1807","269","Today, @Ripple and I personally are taking legal action against @YouTube because their platform is the epicenter for imposter scams, and they’ve done next to nothing in response to our constant takedown requests. (2/4) https://t.co/EexfseYdDK"
"bgarlinghouse","1252652100409950210","2020-04-21 17:35:08","3527","769","Across the industry, social media companies have failed to police their platforms from being abused by the entirely preventable imposter giveaway scams. Hundreds of people (including some of you) have been hurt, yet big tech continues to drag their feet. (1/4)"
"bgarlinghouse","1250896470141632512","2020-04-16 21:18:53","0","391","RT @Ripple: Thank you to everyone on the front lines helping our communities get through this crisis. \n\nWe are donating $5M to Bay Area org…"
"bgarlinghouse","1245850134962814976","2020-04-02 23:06:33","2140","259","Nothing can keep @chrislarsensf down for long 🙌 Thankful to call you a friend and colleague (and love the Ripple shirt!) https://t.co/1RyFDNJkHj"
"bgarlinghouse","1242924511688704001","2020-03-25 21:21:10","1411","283","My semi-annual PSA: @Ripple and I have not, nor will we ever, conduct a giveaway like the scams that continuously pop up impersonating me on @YouTube, @Instagram, @Twitter, etc. Action needs to be taken - more to come soon. (2/2)"
"bgarlinghouse","1242924408919879680","2020-03-25 21:20:46","2123","577","Enough is enough -- in a time of global crisis, when people are especially vulnerable -- social platforms need to hold scammers (crypto and otherwise) accountable for stealing money from innocent victims with fake giveaways. (1/2) https://t.co/wxrF4J3JWu"
"bgarlinghouse","1241048072940969984","2020-03-20 17:04:52","1359","328",".@ashgoblue might just be our product guy, but he (usually) knows what he’s talking about ;) https://t.co/0pghgqRG0N https://t.co/5ZLW3YIUeN"
"bgarlinghouse","1240497330152853504","2020-03-19 04:36:25","1863","219","Our global economy is in uncharted waters, but what I've learned from history: markets are extremely resilient. No one has all the answers, but in times like this, we can always be kind to one another. Remember no matter where you are, we’re in this together. (3/3)"
"bgarlinghouse","1240497329490120705","2020-03-19 04:36:25","1188","130","In this unprecedented new reality, it’s critical that we not forget those who are in need. We @Ripple are doing all we can for our customers around the globe to ensure individuals can continue to send money home to loved ones in a time they need it most. (2/3)"
"bgarlinghouse","1240497328777089024","2020-03-19 04:36:25","1972","287","Like many businesses, @Ripple's highest priority is the wellbeing of team @Ripple. As COVID-19 developed over the past several months, the global team has transitioned to remote work, in efforts to stay safe while continuing to support our customers. (1/3)"
"bgarlinghouse","1239622470212014084","2020-03-16 18:40:02","3139","467","OH in @Ripple's video-staff meeting this morning: “I’m practicing social distancing and turns out I’m really good at it. I’ve been doing it my whole life. It’s called being a nerd.” @JoelKatz \nThese are unprecedented times- be kind to each other and embrace the moments of levity!"
"bgarlinghouse","1234997098568798208","2020-03-04 00:20:28","3217","1075","Energy consumption for BTC and ETH mining is a massive waste and there’s no incentive to take responsibility for the carbon footprint. Absolutely 🤯 that this isn’t high on the agenda for the growing climate crisis... https://t.co/psR77m78Ua"
"bgarlinghouse","1232720417057460224","2020-02-26 17:33:44","0","520","RT @FortuneMagazine: Ripple claims a big win in the elusive quest to use cryptocurrency in banking https://t.co/WYJHh1idY3"
"bgarlinghouse","1232545544699990016","2020-02-26 05:58:52","0","139","RT @ashgoblue: MGI said today that they are actively expanding to new corridors, and even working to integrate RippleNet for account-to-acc…"
