"username","id","time","likes","retweets","text"
"brockpierce","1261046837672370186","2020-05-14 21:32:49","0","2","RT @BCryptoclub: #RT @binance: RT @OVioHQ: Excited to launch the Founder of Web 3 podcast🚀\n\nHosted by @jamie247, first interviews🤩 \n\n@cz_bi…"
"brockpierce","1261046630964396032","2020-05-14 21:32:00","0","93","RT @UFCNews: . @Chiliz$CHZ and @UFC are teaming up for the very first time. We are excited to partner up with the pioneers of Blockchain Fa…"
"brockpierce","1260281441658851329","2020-05-12 18:51:25","0","5","RT @delans: ""What happens is when you re-align everyone’s interests:\n\n- anything YOU do benefits ME, \n- anything I do benefits YOU. \n\nAnd s…"
"brockpierce","1260263952816181250","2020-05-12 17:41:55","0","81","RT @OVioHQ: Excited to launch the Founder of Web 3 podcast🚀\n\nHosted by @jamie247, first interviews🤩 \n\n@cz_binance \n@brockpierce \n@muneeb @b…"
"brockpierce","1260239819067789315","2020-05-12 16:06:01","13","1","BitGive Leverages RSK Blockchain to Launch Trackable Covid-19 Relief Fund https://t.co/5v2gB7FaRa via @iHodl_com_en"
"brockpierce","1260239474623160320","2020-05-12 16:04:39","16","2","Binance Charity and Integro Foundation Commit to Donate Over $1 Million to Coronavirus Relief Campaign: Crypto Against COVID - https://t.co/Zd5RIU72Be"
"brockpierce","1260215159433330688","2020-05-12 14:28:02","0","23","RT @arrington: Just 1,458 days until the next BTC halvening!"
"brockpierce","1260214664690049024","2020-05-12 14:26:04","0","29","RT @binance: (2/3) #CryptoAgainstCOVID\n\n@SJMXCHANGE\n@Quantstamp\n@meetCasperLabs\n@zcoinofficial\n@maticnetwork\n@thorchain_org\n@FerrumNetwork…"
"brockpierce","1260205747411070984","2020-05-12 13:50:38","0","1177","RT @barrysilbert: 2014: ""Bitcoin is a terrible store of value,"" said Jamie Dimon\n2015: ""Bitcoin will not survive""\n2016: ""Bitcoin is going n…"
"brockpierce","1259940877616717836","2020-05-11 20:18:08","0","277","RT @tylerwinklevoss: Paul Tudor Jones didn't just say he has 1-2% of his net worth in gold to hedge against inflation, he said he has 1-2%…"
"brockpierce","1259899655565033472","2020-05-11 17:34:20","0","4","RT @badcrypto: Missed a session from #VBW2020? We've got you covered because we are uploading all the videos over on YouTube! Check out @br…"
"brockpierce","1259899607728955393","2020-05-11 17:34:08","0","3","RT @joelcomm: #RT @badcrypto: Missed a session from #VBW2020? We've got you covered because we are uploading all the videos over on YouTube…"
"brockpierce","1259899182443356160","2020-05-11 17:32:27","1","1","@felblob We are connected now."
"brockpierce","1258845725590466560","2020-05-08 19:46:23","6","0","@crypto_after @VentureCoinist @PeterMcCormack @Disruptepreneur @SpadaforaChris @SatoshiLite @AriDavidPaul @CharlieShrem @bobbyclee Winning and fun with friends. Thank you for facilitating."
"brockpierce","1258590810993377280","2020-05-08 02:53:27","0","1014","RT @coinbrosmusic: We made “The #bitcoin Halving song” and got all our friends to join.  \n\n😃\n Full video🎥 : https://t.co/ambONX5faG https:/…"
"brockpierce","1258397940067991553","2020-05-07 14:07:03","0","10","RT @blockchainbeach: The #Crypto community has really stepped up their #Coronavirus charity efforts @brockpierce @crystalrose @IntegroPR @S…"
"brockpierce","1257741949714534405","2020-05-05 18:40:23","0","40","RT @NexoFinance: Exciting news for the #EOSIO community - #EOS is available as a repayment option for our Instant Crypto Credit Lines™, thu…"
"brockpierce","1257716748758941697","2020-05-05 17:00:14","0","53","RT @CoinPaymentsNET: ARE YOU READY FOR THE #HALVING?\n💥 \n\n@velasfounder @officialmcafee @brockpierce @TheCryptoBubble @TruthRaiderHQ @Crypto…"
"brockpierce","1257633237783937024","2020-05-05 11:28:24","0","6","RT @centralityai: Thanks to @wave_financial for hosting the 'Digital Asset Perspectives' conference last week!\n\nAaron was on the Investment…"
"brockpierce","1257498723346776064","2020-05-05 02:33:53","59","3","May the Fourth be with you! ⚡️🌈 https://t.co/dcZxK7nIkr"
"brockpierce","1257304900242829316","2020-05-04 13:43:42","19","4","Video of episode 2 is now premiering on Youtube\n\nlink below 👇\n\nhttps://t.co/L3n9Proc70\n\n#coronavirus #WuhanVirus #gainoffunction #research https://t.co/ImzAeFoB0V"
