"username","id","time","likes","retweets","text"
"cryptohayes","1261075534156447745","2020-05-14 23:26:51","107","6","Errbody is buidling. https://t.co/F2rZBPZM3X"
"cryptohayes","1260864412715347968","2020-05-14 09:27:56","1241","154","Stonks be rolling over, #bitcoin be mooning. SPX double bear market rally top at the 62% retracement, rut roh. Fire up those stimulus checks and let’s take out $10k bitcoin. https://t.co/1vdRpDg5ZX"
"cryptohayes","1259797108556611585","2020-05-11 10:46:51","745","18","Nice one. I lol’d. https://t.co/ReqoLphlwI"
"cryptohayes","1258895329673400320","2020-05-08 23:03:30","0","19","RT @BitcoinMagazine: We're thrilled to host @CryptoHayes, co-founder and CEO of @BitMEXdotcom, as a featured speaker for the https://t.co/1…"
"cryptohayes","1258528384025391109","2020-05-07 22:45:23","2926","603","Paul Tudor Jones just removed career risk from investing in #bitcoin. Expect a lot of beta fund managers to begin cooking some copy pasta. https://t.co/FC4NlttCZ1"
"cryptohayes","1256462424691011584","2020-05-02 05:56:00","1974","173","Funding secured, I’m taking #bitcoin private at $420,000. Many thanks to the Vision Fund for their support. https://t.co/NAntTqE6hB"
"cryptohayes","1255706879616888832","2020-04-30 03:53:44","628","94","This is what happens with #bitcoin teams up with stonks. Thank you Chairman Powell. You keep hope alive! https://t.co/2NqncI8E8c"
"cryptohayes","1253531621078138881","2020-04-24 03:50:02","196","13","Come get some. https://t.co/hm9SwAiq8w"
"cryptohayes","1252143744427548673","2020-04-20 07:55:07","436","24","Doing our small part to help solve this shit, so we can see each other in real life sometime in the near future. Stay safe yall. https://t.co/B6K5E34OYs"
"cryptohayes","1250412241234456577","2020-04-15 13:14:44","658","63","Locked down, time to engage in some intellectual gambling. https://t.co/w1zKolsdbA"
"cryptohayes","1248245207147008003","2020-04-09 13:43:43","670","126","Brrrrrr bring it Powell. I got my pocket rockets - Gold and #Bitcoin. Check out the latest Digest. https://t.co/z3Fg1uPSjk https://t.co/jiTXvCqsyO"
