"username","id","time","likes","retweets","text"
"cryptomanran","1261117485824212993","2020-05-15 02:13:33","43","12","Brilliant!!!! https://t.co/Q6IwhrXusv"
"cryptomanran","1261079743379709952","2020-05-14 23:43:35","19","1","Hygiene Officer, it’s like a compliance officer but for hygiene."
"cryptomanran","1260979832189526023","2020-05-14 17:06:34","14","1","@scottwalker99 @ErikVoorhees @VICE The USA is China, with a marketing department."
"cryptomanran","1260955895699320834","2020-05-14 15:31:27","71","8","Just a reminder that Alt season is scheduled to begin on June 1 2020 and is not subject to the lockdown or the attempts by the Democrats to extend these for as long as possible. \n\nMore updates to follow."
"cryptomanran","1260939348909965312","2020-05-14 14:25:42","11","2","The USA is China with a good marketing department. https://t.co/YhzyHiDjlR"
"cryptomanran","1260730080386592768","2020-05-14 00:34:09","19","10","Bang!!! Who else is going to be here?? https://t.co/RS3IsGVjQq"
"cryptomanran","1260654936821338112","2020-05-13 19:35:33","38","7","In the ""land of the free"", home of ""capitalism"", the NY state just put a cap of 20% on delivery fees that can be charged by 3rd party delivery apps. American capitalism at its best!"
"cryptomanran","1260650572996161536","2020-05-13 19:18:13","2","0","@ZacShaiken @lawmaster @tylerwinklevoss Im blocked so cant see @lawmaster tweet..."
"cryptomanran","1260605951465455620","2020-05-13 16:20:54","84","3","Quick question; \nHow does CNBC manage to find people that are so bullish one day and then 24 hours later, with no real fundamental changes or news at all , are bearish the next?"
"cryptomanran","1260388617807167494","2020-05-13 01:57:18","540","47","Imagine watching all of this and still not buying any Bitcoin."
"cryptomanran","1260387953270034435","2020-05-13 01:54:39","6","1","@arrington When you read judgements like this you realize just how important it is to own Bitcoin."
"cryptomanran","1260381143993589760","2020-05-13 01:27:36","35","3","@tylerwinklevoss You tweet a lot more when the BTC price is going up. I can’t wait for $20000!"
"cryptomanran","1260380930608369666","2020-05-13 01:26:45","31","4","Is there anyone that knows how this can be updated on the internet? https://t.co/0bb6SmrWec"
"cryptomanran","1260379274701307905","2020-05-13 01:20:10","42","9","Can someone explain to me how this new version of capitalism works?"
"cryptomanran","1260378420770463745","2020-05-13 01:16:46","21","1","@tylerwinklevoss @ErikVoorhees @jchervinsky Owning a balanced portfolio of XRP and HEX is very very very smart."
"cryptomanran","1260377688465903616","2020-05-13 01:13:52","36","4","It's just another $3 Trillion .... but hey, who's counting? https://t.co/XRrAPQv4CI"
"cryptomanran","1260375433192902661","2020-05-13 01:04:54","3","0","@Disruptepreneur This is a scary reality. Since most people have homes already there is no real requirement to transform it into homes. most of it can't be used as warehousing and distribution....It may all be converted homes and cause a huge decline in the housing market."
"cryptomanran","1260366228192927745","2020-05-13 00:28:19","33","10","In the name of ""Investor Protection"" the SEC has caused investors to lose over $400m. Worse, it has clearly stifled what would have been great innovation.\n\nSo sad!\n\nhttps://t.co/Mf6ZGiLPjq"
"cryptomanran","1260364770538074112","2020-05-13 00:22:32","38","4","Equity markets at least 25% overpriced IMO."
"cryptomanran","1260362524664487936","2020-05-13 00:13:36","4","1","If your employer offered you a choice to work ONLY from home or have an office ,which would you pick?"
"cryptomanran","1260362263325814784","2020-05-13 00:12:34","6","2","Given what we know now, do you think we should have not had a lockdown and rather isolated the vulnerable?"
"cryptomanran","1260017910266789889","2020-05-12 01:24:14","8","3","@alee The interest and sentiment outside of the market is at an ATH https://t.co/m77SIbmyBa"
"cryptomanran","1260017191392407554","2020-05-12 01:21:23","126","14","There is a disconnect between the current awareness and sentiment towards Bitcoin and the price.  The price should be way higher."
"cryptomanran","1259962671119638533","2020-05-11 21:44:44","236","14","Bitcoin halving done! Now for the XRP one..."
