"username","id","time","likes","retweets","text"
"iamjosephyoung","1260636760461029376","2020-05-13 18:23:19","0","26","RT @ColePetersen14: The trend of investors moving their Bitcoin away from exchanges in favor of cold storage has gained steam since the hal…"
"iamjosephyoung","1260608878288334859","2020-05-13 16:32:32","0","34","RT @CointelegraphMT: #Bitcoin price chart shows similar action to April 2019 before BTC soared to nearly $14K https://t.co/hoEVnwC5Bd"
"iamjosephyoung","1260191528879677441","2020-05-12 12:54:08","191","43","All commercial businesses go to where the demand is. If there is money to be made and there is enough demand, any business will make the smart decision.\n\nAnd JPMorgan is one of the first big ones to make the right decision about bitcoin.\n\nhttps://t.co/r57QiOldrQ"
"iamjosephyoung","1259920857574436867","2020-05-11 18:58:35","256","20","Haven't seen this kind of bitcoin volatility since... yesterday"
"iamjosephyoung","1259868651651428353","2020-05-11 15:31:08","155","16","You all think bitcoin is up 10% since dropping to $8,100 because of halving. It's because Peter Schiff tweeted. The ultimate bottom caller!"
"iamjosephyoung","1259847943017959424","2020-05-11 14:08:51","46","12","Unlike October 2019 and February 2020 rallies, the recent Bitcoin upsurge is more resilient because it's backed by real retail demand.\n\nBitcoin spot volume on Binance and Coinbase neared levels unseen since BTC was $20,000.\n\nhttps://t.co/LA322q0tkG"
"iamjosephyoung","1259834761851228166","2020-05-11 13:16:28","494","86","Tudor Jones owning $100 million+ in bitcoin is very optimistic, but here's what I found the most positive.\n\n""What I do know is that everyday that goes by and Bitcoin survives, the trust in it will go up.""\n\nBitcoin is still only 11 years old. It's only beginning."
"iamjosephyoung","1259340946417696772","2020-05-10 04:34:13","1519","76","The worst part of the dump isn't the dump, it's Peter Schiff's tweets afterwards"
"iamjosephyoung","1259281240533790720","2020-05-10 00:36:58","61","13","The weekly picture of bitcoin at a multi-year resistance area is not looking so... pretty https://t.co/MfJTVpCiSJ"
"iamjosephyoung","1259276706914820096","2020-05-10 00:18:57","967","95","$100 million worth of longs just liquidated as bitcoin dumps below $9k"
"iamjosephyoung","1258617565561020417","2020-05-08 04:39:46","556","99","Bitcoin hopium checklist\n\n1. $10,000 (check)\n2. Bloomberg, MarketWatch, CNBC cram BTC coverage (check)\n3. Sentiment extremely bullish (check)\n4. Billionaire suddenly is long BTC (check)\n5. Rally overextends (check)"
"iamjosephyoung","1258561538731831296","2020-05-08 00:57:08","140","21","If bitcoin goes to $9k/$10k, who will be buying?\n\nThis was a legitimate question. Would there be enough liquidity to sustain a run and will there be enough compelling reasons to buy it.\n\nThe answer: https://t.co/5dPZxM8tkY"
"iamjosephyoung","1258558710915489793","2020-05-08 00:45:54","191","32","Wow bitcoin 😊\n\nBitcoin is now almost up 3x since March 12, within less than 2 months https://t.co/5whqo3bai9"
"iamjosephyoung","1258447677244620800","2020-05-07 17:24:41","68","8","The new paradigm in bitcoin is when long and short squeezes dont trigger massive price swings"
"iamjosephyoung","1257876943698944001","2020-05-06 03:36:48","128","23","About a week out until bitcoin halving, and things look good for the mining sector.\n\nIf BTC had stayed at $6k, many machines would have shut down post halving.\n\nEven if a post-halving pullback occurs, above $6k should keep most smart miners healthy."
"iamjosephyoung","1257109005400330240","2020-05-04 00:45:17","0","12","RT @ColePetersen14: The Bitcoin halving is 8 days away and things couldn’t be looking brighter:\n\n- Up over 130% from its March lows and 25%…"
"iamjosephyoung","1255674822228508672","2020-04-30 01:46:21","351","61","The RSI of bitcoin on the daily chart is 75. Anything above 70 is considered highly overbought.\n\nThe last time RSI was this high was when BTC was at $10,500, before the big fall."
"iamjosephyoung","1255644693318127618","2020-04-29 23:46:38","466","43","Narrator: bitcoin increased by 50% https://t.co/k0FVGWlc0r"
"iamjosephyoung","1255013649296457728","2020-04-28 05:59:05","74","15","This is optimistic for large bitcoin miners in China, especially in Sichuan.\n\nAfter halving, if BTC remains in $6~$7k, F2Pool co-founder said there is real risk of more mining machines shutting down.\n\nBut, he also said cheaper electricity can protect miners, which is happening. https://t.co/HDjYC56BOk"
