"username","id","time","likes","retweets","text"
"jerallaire","1260977641181655046","2020-05-14 16:57:52","0","5","RT @circlepay: Catch Episode 2 of The Money Movement live streaming at 1p EDT — in just a few minutes 🎬 https://t.co/Hej9w0pdPM #themoneymo…"
"jerallaire","1260918532365320193","2020-05-14 13:02:59","4","51","Excited about today's episode of The Money Movement -- talking about the Insane Risks, Full Reserve Money and the Safety and Security of public chains.  Live at 1pm EDT -- https://t.co/dkepFLQDWp"
"jerallaire","1260574562510680064","2020-05-13 14:16:10","0","5","RT @circlepay: Join us tomorrow at 1p EDT on the Money Movement, Founder and CEO of Pantera Capital Dan Morehead (@dan_pantera) will join t…"
"jerallaire","1260574539899166720","2020-05-13 14:16:05","0","4","RT @circlepay: Join us tomorrow at 1p EDT on the Money Movement while we discuss the tenants behind  stablecoin based infrastructure for sa…"
"jerallaire","1260574527672680451","2020-05-13 14:16:02","0","2","RT @circlepay: Join us tomorrow at 1p EDT on the Money Movement while we discuss the history of Full Reserve Money, the Chicago Plan and wh…"
"jerallaire","1259936966361206786","2020-05-11 20:02:35","52","8","Antpool mines historic final block before halvening with tx imprinted: ""NYTimes 09/Apr/2020 With $2.3T Injection, Fed’s Plan Far Exceeds 2008 Rescue Mined.”"
"jerallaire","1259602711538020353","2020-05-10 21:54:23","18","4","Looking forward to this session! Please join if you can. https://t.co/UkC3R18b68"
"jerallaire","1259516085306626050","2020-05-10 16:10:10","11","1","Tune-in for the next episode of The Money Movement -- Episode 2: A Safe Haven - Insane Risk, The Chicago Plan and Safer Money and Payments https://t.co/Kd861sKG2L with  guests Dan Morehead (dan_pantera), Haseeb Quershi (hosseeb), and Professor Ronnie Phillips (ronniejphillips)"
"jerallaire","1259238292509331458","2020-05-09 21:46:19","0","0","@yabchris Thanks.  We'll get to more hands-on utility value of stablecoins in upcoming episodes."
"jerallaire","1258919194948706310","2020-05-09 00:38:20","14","2","Listen to the first episode of The Money Movement on Apple Podcast's -- https://t.co/296pJUPC2C"
"jerallaire","1258772939584962565","2020-05-08 14:57:10","0","0","@catoinstitute live stream on Digital Dollars here:  https://t.co/YUGWKjcVZV"
"jerallaire","1258772387090313216","2020-05-08 14:54:58","5","2","ICYMI - The Money Movement Episode 1 - Global Macro View, Blockchain 101 and the Stablecoin Thesis - is now available to listen as a podcast on Spotify:  https://t.co/ZJZkSp3Dmk"
