"username","id","time","likes","retweets","text"
"kloeffler","1261020557916676097","2020-05-14 19:48:24","27","7","I’ve been around agriculture &amp; farming my entire life. I know how important it is that we ensure Georgia’s farmers have the resources they need to recover during this time, and I’ll never stop fighting for them. https://t.co/q6e2E7W5VP #gapol #gasen"
"kloeffler","1260964709521592321","2020-05-14 16:06:28","32","4","Earlier this week, I shared an update with the Troup County Chamber of Commerce about the results we’ve delivered since I took office. We will get through this, and we will reignite our economy, together. https://t.co/d8BoaGdzVg #gapol #gasen"
"kloeffler","1260932485275246598","2020-05-14 13:58:26","0","65","RT @timechols: For the future of our party's continued leadership in Georgia, we must have strong, conservative women like Kelly and @TPrid…"
"kloeffler","1260932391587033089","2020-05-14 13:58:03","0","6","RT @jasonweaver_79: Leadership by example ! PSC Commissioner #MovingGaForward \n@KLoeffler https://t.co/Nl0MSbXW2q"
"kloeffler","1260909374110924800","2020-05-14 12:26:36","46","11","Honored to welcome @timechols to the team! Look forward to continuing to work with you to protect life, advance our conservative values, and reignite Georgia’s economy! #gapol #gasen https://t.co/kWcVk1AB3K"
"kloeffler","1260905712093409280","2020-05-14 12:12:02","61","7","Atlanta-based Royal Food Service Co has won a five year contract to provide fresh produce to the Army, Navy, and U.S. Department of Agriculture. Great news! #gapol https://t.co/tEiKD0D5CY"
"kloeffler","1260905567532519424","2020-05-14 12:11:28","0","18161","RT @NikkiHaley: Hard to see any scenario that Pres. Obama didn’t know about what was being done to Flynn. For his Chief of Staff and Biden…"
"kloeffler","1260721490065936385","2020-05-14 00:00:00","46","7","Our law enforcement officers risk their lives to protect families and communities. As we observe #NationalPoliceWeek, it’s an honor to co-sponsor legislation supporting the loved ones of law enforcement officers who’ve made the ultimate sacrifice. #gapol #gasen https://t.co/m7Ew8WqDxQ"
"kloeffler","1260704712350973952","2020-05-13 22:53:20","121","15","Congratulations to @MikeGarcia2020 on flipping #CA25! There’s no doubt about it: @GOP  is building momentum toward strong wins across the country in November!"
"kloeffler","1260665384774127617","2020-05-13 20:17:04","69","20","The American people deserve answers. We’re going to fight like hell to get them and hold the Obama administration accountable. What happened to @realDonaldTrump is despicable and must never happen again! https://t.co/hve6a6UHNG #gapol #gasen"
"kloeffler","1260644142763380739","2020-05-13 18:52:39","43","8","One size doesn’t fit all and @realDonaldTrump is leading by working with governors to decide what works best for their state when it comes to reigniting their state’s economies. #gapol #gasen https://t.co/TFqTAAa6qn"
"kloeffler","1260618133099905026","2020-05-13 17:09:18","71","18","From @BrianKempGA to @NikkiHaley, @newtgingrich to @Team_Mitch, conservative champions are supporting our campaign and helping us build momentum for a strong victory in November! https://t.co/kf2QozJGA7 #gapol #gasen https://t.co/EPzZB8Ye2N"
"kloeffler","1260605384097742849","2020-05-13 16:18:39","71","19","BREAKING: Despite the Left’s false attacks and fake news, we are STILL running neck and neck in this race. They’ve taken their best shot. And they missed. https://t.co/qyGCPY77cK #gapol #gasen"
"kloeffler","1260575525300363264","2020-05-13 14:20:00","71","17","The Chinese Communist Party is responsible for thousands of American lives and millions of jobs. They must be held accountable for their coverup and deception. #gapol #gasen https://t.co/WnrQWO75NR"
"kloeffler","1260560487206486016","2020-05-13 13:20:14","36","8","Conservatives across our state--in all 159 counties--are helping us build momentum toward a big win in November. I’m humbled to announce some new endorsements today and have the support of so many Georgia leaders! https://t.co/gxJc2hoY94 #gapol #gasen"
"kloeffler","1260360897052258305","2020-05-13 00:07:08","100","24","44,803 paragraphs, 347,144 words, 1,815 pages, and $3 TRILLION worth of a socialist wish list going nowhere. \n\nAll while American families, workers, and companies continue to struggle. \n\nShame on you &amp; your Democrat enablers, @SpeakerPelosi. #gapol #gasen https://t.co/Gekx5967x9"
