"username","id","time","likes","retweets","text"
"novogratz","1261046416580972544","2020-05-14 21:31:09","9","0","@SRuhle Insane."
"novogratz","1261045928246591488","2020-05-14 21:29:13","12","0","@brucefenton Crazy. @NYCMayor needs to stop this crap.  He won’t.  So sad."
"novogratz","1260729368709672960","2020-05-14 00:31:19","671","55","This man is full of shit.  Taking a veiled swipe at our best investors is really a low move. Stan Druckenmiller gives more away in a year than Donald did in his lifetime.  Maybe in a month. https://t.co/IiqmrwG2ir"
"novogratz","1260722903651401729","2020-05-14 00:05:37","5","0","@BitcoinBilli They are both deca-billionaires having started with nothing.  Stan has never had a down year.    A little respect please.   Investing ain’t an easy game.  Learn from them."
"novogratz","1260687573216833536","2020-05-13 21:45:14","2","0","@briankoppelman @davidchang I’m with you on team @davidchang"
"novogratz","1260679608590098435","2020-05-13 21:13:35","179","13","Tepper and Druckenmiller have been the best investors in the world for the past 20 years.  The are worth listening to.   Of course Jim Simons is other worldly.  Maybe a alien or a robot he’s so good.  But he never talks. https://t.co/feyJOt0LpK"
"novogratz","1260550359967203330","2020-05-13 12:40:00","3","0","@PaulcBitcoin I didn’t say in one week.  We will be at 100k in the USA by mid June at the latest.  My point is with 160mm people to get to half and a .3 mortality rate you get roughly 500k people."
"novogratz","1260523609979748352","2020-05-13 10:53:42","83","9","This thread is important.  I’m convinced we get a ‘dirty open’ where we never really make people feel safe and we have a steady beat of new deaths.  We are already used to 10k a week.   When we get to 500k we should have heard immunity.   And our economy will limp along. Not fun. https://t.co/0P1WOh561m"
"novogratz","1260401500083363840","2020-05-13 02:48:29","201","9","Was walking down the canyon of heroes this am.  Amazed at how many ticker tape parades we had post WW2.  Lately it’s mostly been for sports teams.   Let’s promise to have a big one for the team that finds a vaccine for this damn virus.  #iloveaparade"
"novogratz","1260400022220345352","2020-05-13 02:42:37","12","0","@akhan1437 All @REFORM has been doing is working at reducing the prison population and changing parole laws.   There is a team working all day and all night to do that.   Stay positive my friend."
"novogratz","1260331562677256192","2020-05-12 22:10:35","6","0","@NodeInvestor @crypto_bobby Ouch."
"novogratz","1260285108264845312","2020-05-12 19:05:59","13","0","@courtmwarner @CharlieShrem @FranckMuller Fly"
"novogratz","1260251378737459207","2020-05-12 16:51:57","1","0","@Comeback_USA @FiboSwanny @ToneVays @jimmysong @tylerwinklevoss @winklevoss We share my favorite song 😉"
"novogratz","1260251044438818816","2020-05-12 16:50:37","665","90","More TV.  Go $BTC.  https://t.co/l9TujZhGgm"
"novogratz","1260249933518647296","2020-05-12 16:46:13","43","12","The attached report is damn good.  Very comprehensive.   @paradigm came out of the gates hot and haven’t looked back. https://t.co/R5MaYSE5dw"
"novogratz","1260214548063191047","2020-05-12 14:25:36","2107","400","The JPM announcement that they will provide banking services to Coinbase and Gemini is a big deal.  Go $BTC.   It is recognition that the future will include crypto currencies, digital assets, and blockchain based systems."
