"username","id","time","likes","retweets","text"
"sammcingvale","1251327622799187968","2020-04-18 01:52:08","4","0","@HaileyLennonBTC @CoinbaseCustody @Drizly @compoundfinance @sadbryce “top 3 classiest hangouts”\n- @jaysonhobby"
"sammcingvale","1236134497462054912","2020-03-07 03:40:05","0","3","RT @TheChicagoVC: E*Trade customers flocking to @M1_Finance. \n\nDon't get mad, get M1. \n\nhttps://t.co/We9b4dNpOl https://t.co/ix7wlZW9Lg"
"sammcingvale","1234180614170955777","2020-03-01 18:16:03","5","1","congrats @juliankoh and @kenchangh! gettin’ us ready for #eth2 💪💪💪 https://t.co/sTH1o61Jen"
"sammcingvale","1226900929657462786","2020-02-10 16:09:11","20","1","@CoinbaseCustody has a track record of supporting high-profile projects at launch. we’ve previously partnered with @blockstack, @Algorand, and @OrchidProtocol and are looking forward to many more in 2020."
"sammcingvale","1226897671551504384","2020-02-10 15:56:14","60","13","Polkadot’s launch is going to be one of the biggest highlights of 2020. \n\nwe’re excited to partner with @web3foundation to help support early DOT holders. https://t.co/kKTqq1gEoE"
"sammcingvale","1223677326459899904","2020-02-01 18:39:44","1","0","TIL: Apple charges debit card issuers $10 per card to support Apple Pay regardless of whether the user adds their card to AP or not. \n\nhard to imagine this not becoming the default for all debit cards in the future. https://t.co/K0px3k0h6Y"
"sammcingvale","1223661804112547841","2020-02-01 17:38:03","7","0","this is one of the most interesting (and least talked about) stories in crypto. excited to watch crypto remittances continue to develop in 2020. https://t.co/TmZ1Yrsl99"
"sammcingvale","1223339100956168196","2020-01-31 20:15:44","3","0","@AriannaSimpson @a16z congrats Arianna! 🎉🎉"
"sammcingvale","1222696477400731648","2020-01-30 01:42:11","46","2","🇮🇪 🇬🇧 🌍 🌏 https://t.co/FC5WrxSJmP"
"sammcingvale","1218297042583183361","2020-01-17 22:20:24","18","1","2) that’s why we pioneered crypto insurance in 2012, established the first crypto captive in 2019 (which, afawk, is the first regulated insurance entity to hold crypto on its balance sheet), and today maintain a $255M limit plus a $500M direct-to-client insurance facility."
"sammcingvale","1218297041819815936","2020-01-17 22:20:24","21","2","1) we always love to see more crypto co’s getting involved in insurance. we agree it’s a significant enabler to institutional adoption. https://t.co/jelaie0gLf"
"sammcingvale","1194123649072189445","2019-11-12 05:23:58","1","0","@HaileyLennonBTC @CNBCi @Rice24David it’s the only way to f̶l̶y̶ get to JFK in under 2 hours 🚁"
"sammcingvale","1194122685636390912","2019-11-12 05:20:08","1","0","@joemccann that’s cool"
"sammcingvale","1191138847859412992","2019-11-03 23:43:26","1","0","@RachaelRad Bay Area Discovery Museum?"
"sammcingvale","1188841128193249280","2019-10-28 15:33:07","1","0","@JamesCPoole i jumped on the bandwagon yesterday"
"sammcingvale","1187923347801133056","2019-10-26 02:46:11","32","2","i first got to meet Ken at a hawker market in Singapore (where we ate way too much chili crab 🦀). pretty cool that 1 month later he’s heading to London to work for @CoinbaseCustody. \n\nreal world crypto creating real world economic freedom. \n\ncrypto FTW! 🎉 https://t.co/4qTLjJJH8g"
"sammcingvale","1187858152374431744","2019-10-25 22:27:07","3","0","@kenchangh @coinbase @juliankoh so pumped for you to join Ken!"
"sammcingvale","1187570055837409281","2019-10-25 03:22:19","0","2","RT @juliankoh: Hello Twitter hivemind! @CoinbaseCustody is hiring mobile developers (React Native) here in 🇬🇧\n\nKnow anyone who could be int…"
"sammcingvale","1186341989299568641","2019-10-21 18:02:26","5","0","the “official” hipster panel https://t.co/sA6dbFtNd1"
"sammcingvale","1186327116385665026","2019-10-21 17:03:20","4","0","s/o to @M1_Finance for building something that looks and works like the way it should. and doing it long before fractional shares were cool. \n\nhttps://t.co/edH0yNpu5w"
"sammcingvale","1182672669663039490","2019-10-11 15:01:52","40","6","more ways to actively participate from Coinbase Custody! excited to ship this ahead of the upcoming MCD vote in Nov. 🗳\n\nhttps://t.co/Uzl81XaAMp"
"sammcingvale","1180512113468379136","2019-10-05 15:56:35","3","0","@maxbranzburg @RachaelRad i feel so alive 🤘"
"sammcingvale","1180508634855297026","2019-10-05 15:42:45","3","0","@RachaelRad we felt it!"
"sammcingvale","1179181799794102272","2019-10-01 23:50:23","1","0","@ljxie @CoinbaseCustody 😀 wish i could take credit!"
