"username","id","time","likes","retweets","text"
"sergeynazarov","1260272971551109120","2020-05-12 18:17:45","973","259","Thrilled about Chainlink VRF's verifiable on-chain randomness, specifically made for smart contracts; https://t.co/5k8mhIf45j, excited to see what games and other great smart contracts can be built using on-chain verifiable randomness."
"sergeynazarov","1258905882538110976","2020-05-08 23:45:26","1061","283","Thanks for everyone's interest during the @readylayerone\nconference about how oracles can help expand what smart contracts are capable of on various blockchains. Happy to share my slides here; https://t.co/ZjkPN74SJW and excited about having @chainlink working on multiple chains."
"sergeynazarov","1257415213453893632","2020-05-04 21:02:03","0","57","RT @evan_van_ness: Week in Ethereum News for May 3, 2020\n\n🙏 This issue is made possible by @chainlink! \n\nhttps://t.co/1K7bvEbDQN"
"sergeynazarov","1230320635156393985","2020-02-20 02:37:52","0","49","RT @nlw: Today on The Breakdown on @coindesk \n\n@SergeyNazarov joins to chat:\n\n+the role of price oracles in DeFi\n+how price oracles were ta…"
"sergeynazarov","1229858744231591936","2020-02-18 20:02:28","445","74","5/ DEXs are great and provide large benefits to users, but I do caution DeFI smart contract developers from using any one on-chain or off-chain data source/exchange API to determine price, and recommend using high quality data aggregators via decentralized oracles like @chainlink"
"sergeynazarov","1229858743589859328","2020-02-18 20:02:28","349","39","4/ Meta Oracles also allow implementation of pricing bands, which is a common mechanism from traditional financial markets to avoid large pricing swings away from market prices, protecting both DEXs and their users from slippage and most price manipulation https://t.co/w353JHZ06V"
"sergeynazarov","1229858742801272832","2020-02-18 20:02:28","309","31","3/ If a DeFi Dapp wants to include on-chain DEX price data in their smart contract, we're able to provide our Chainlink Meta Oracle capability; https://t.co/w353JHZ06V, which will allow them to use on-chain DEX prices in combination with the larger market’s overall price data."
"sergeynazarov","1229858742109237251","2020-02-18 20:02:28","332","33","2/ Our reference price data networks have over 21 independent nodes which connect to over 10 independent data aggregators. We don't go directly to one exchange's price, regardless of if it's a DEX; that alone can create an attack that is difficult to mitigate if volumes drop."
"sergeynazarov","1229858740989394944","2020-02-18 20:02:28","1126","319","1/ We're in the process of helping @bzxHQ solve this pricing data manipulation issue for the long-term by using our decentralized oracle network's price reference data; https://t.co/ylbngGisYO providing both a decentralized oracle mechanism and multiple quality data aggregators. https://t.co/O8WrGrcGlU"
"sergeynazarov","1213198972996767744","2020-01-03 20:42:29","812","203","I've played pc games on and off my whole life, they've always helped me step back and gain perspective, almost like a modern form of meditation. Never thought I'd be playing a game of myself though; https://t.co/8KsUOixDHx, it's truly special, thanks @PureNukage for making this."
"sergeynazarov","1208428897097994240","2019-12-21 16:47:55","0","99","RT @coindesk: 6/ Always wearing the same plaid shirts, @SergeyNazarov builds decentralized networks of oracles so blockchains can interact…"
"sergeynazarov","1182942428199702529","2019-10-12 08:53:47","0","208","RT @chainlink: We’re thrilled to announce Chainlink’s first virtual hackathon from Oct 14-31. There are over $60k in bounties for developer…"
"sergeynazarov","1134181619399647239","2019-05-30 19:35:44","0","398","RT @chainlink: We’re thrilled to announce that Chainlink’s decentralized oracles are live on Ethereum mainnet; https://t.co/ydZxZG8t89. Tha…"
"sergeynazarov","1103729756481224704","2019-03-07 18:50:54","0","131","RT @chainlink: We're thrilled to announce that @oraclizeit (now known as Provable), is joining the Chainlink community, and will be making…"
"sergeynazarov","1103729732074569728","2019-03-07 18:50:49","0","146","RT @chainlink: Chainlink is proud to announce @tgonser, Founder of @DocuSign, as the newest advisor to the project following a recent fires…"
"sergeynazarov","1064932740225794053","2018-11-20 17:25:25","0","75","RT @techreview: A startup says it has tackled a long-standing problem with blockchain technology and “smart contracts.” by @mike_orcutt htt…"
"sergeynazarov","1021943449942216704","2018-07-25 02:21:19","0","153","RT @chainlink: The new https://t.co/HEZLdFQAQq site is live, thank you for our great communities amazing support. We're always working on m…"
"sergeynazarov","972000465905901570","2018-03-09 06:45:44","183","27","Great work by @phildaian, @ethlorenz, Florian Tramèr and @AriJuels  on https://t.co/LuSboQHXfx, with https://t.co/YJ70f2JiP3 also looking like a very promising direction to think deeply about."
"sergeynazarov","967140491035779072","2018-02-23 20:53:56","0","177","RT @chainlink: ChainLink, an Overview and Our Focus:\nhttps://t.co/0ZkpbdUnTG"
"sergeynazarov","967139655559737344","2018-02-23 20:50:37","0","66","RT @chainlink: Our presentation from @btcsupercon on smart contracts; https://t.co/53nCK4h8OS, and how their ability to have a reliable/dec…"
"sergeynazarov","967137812309929984","2018-02-23 20:43:17","0","44","RT @zeppelin_os: Learn more about how our partnership with @Smart_Contract will enable zeppelin_os. https://t.co/Prg97sanFQ"
"sergeynazarov","967137338550726656","2018-02-23 20:41:24","0","670","RT @AriDavidPaul: The single biggest crypto innovation of 2018 will be working oracles.  Oracles (the ability to bring info from outside a…"
"sergeynazarov","967136573778157568","2018-02-23 20:38:22","184","30","@AriDavidPaul When smart contract developers have access to on-chain contracts that represent off-chain resources, they will then have the building blocks necessary to build complex Dapps the way web developers build complex applications using APIs for inputs/outputs; this is our primary goal"
