"username","id","time","likes","retweets","text"
"spair","1110673196158717952","2019-03-26 22:41:39","0","3","RT @BitGiveOrg: @b4_humanity @koibanx @RSKsmart @rif_os @labitconf @labitcoineta @EspacioBitcoin @BitcoinAR @ripio @BitPay @bloqinc \n#GiveT…"
"spair","1108447766852837376","2019-03-20 19:18:36","0","22","RT @BitPay: Hey #MRCVegas19! Want to see for yourself how no-chargeback Bitcoin payments work? Drop by the BitPay booth and try a payment f…"
"spair","1108078798703079426","2019-03-19 18:52:27","0","37","RT @Avnet: In partnership with @BitPay, we're now accepting cryptocurrency! It's as easy as verifying funds, processing an order and comple…"
"spair","1067413016466128902","2018-11-27 13:41:09","18","3","Going on #coindesklive at #ConsensusInvest"
"spair","993820446553509888","2018-05-08 11:50:33","0","2745","RT @tylerwinklevoss: Dear @BillGates there is an easy way to short bitcoin. You can short #XBT, the @CBOE Bitcoin (USD) Futures contract, a…"
"spair","989201134932946944","2018-04-25 17:55:03","33","7","we have something in the works ... it will be a lot simpler for wallets to implement https://t.co/yPvUE5QARi"
"spair","974033896768770050","2018-03-14 21:25:52","83","10","@rogerkver it is 33% for very small value transactions ... Bitcoin is a very valuable well proven blockchain for many types of payments ... we may change these screens so people stop using them for political purposes"
"spair","973197961919369222","2018-03-12 14:04:09","11","0","@Technom4ge @DenariumBitcoin sorry to hear that Henry, I've written an explanation of how we compute the network cost was pass along here: https://t.co/UXUM9WXTdp"
"spair","952530161479639042","2018-01-14 13:17:42","0","45","RT @BitPay: How Payment Protocol Is Eliminating Costly Bitcoin Payment Errors: Stats and Results | The BitPay Blog https://t.co/QFk78hUIyH…"
"spair","951458713969283072","2018-01-11 14:20:09","0","18","RT @BitPay: BitPay and Copay Wallet Users in Brazil Can Now Buy Mercado Livre Gift Cards In-App | The BitPay Blog https://t.co/VJaAPnnoQW #…"
"spair","950135202004848640","2018-01-07 22:40:59","163","23","We deliberately moved to 6 decimal places on @BitPay invoices so that we could eventually drop the leading ""0."" and present everything as ""bits"" https://t.co/qMy4tPJ7C2"
"spair","938451196624465920","2017-12-06 16:52:55","94","31","https://t.co/uKpKpKXu3u"
"spair","928319914884108306","2017-11-08 17:54:49","0","1640","RT @CharlieShrem: BREAKING: ""SegWit2X Suspending plans for the upcoming 2MB upgrade."" #Bitcoin\nhttps://t.co/9eWcFOBm2A"
"spair","928311825510420481","2017-11-08 17:22:41","240","58","I just published “Segwit2x Should Be Canceled” https://t.co/0xn0iwjx5f"
"spair","915560113053868032","2017-10-04 12:51:55","78","34","BitPay’s Bitcoin Payments Volume Grows by 328%, On Pace for $1 Billion Yearly https://t.co/Ls3S8Ce1zZ via @bitpay"
"spair","908822695210553344","2017-09-15 22:39:50","138","42","https://t.co/PfqurZAAXx"
"spair","908376357322797061","2017-09-14 17:06:15","10","2","“How B2B Bitcoin Payments Are Opening International Markets to US Businesses” by @BitPay https://t.co/XaAShQFa6o"
