window size,Add LSTM Layer.neurons,Add LSTM Layer.gate_activation,Deep Learning (Tensor).updater,Deep Learning (Tensor).learning_rate,Deep Learning (Tensor).use_regularization,rmse,absolute error (mae),relative error (mape),correlation
1,64,Sigmoid,RMSProp,0.01,TRUE,16.70549679,11.84875892,0.071259316,0.958287118
1,21,Sigmoid,Adam,0.1,TRUE,17.2639416,12.2011539,0.069008877,0.959303086
1,64,Sigmoid,RMSProp,0.03,TRUE,18.05570924,13.49168665,0.086036974,0.954605182
1,21,Sigmoid,RMSProp,0.03,TRUE,18.07551154,12.32757101,0.078099878,0.950426467
1,64,Sigmoid,RMSProp,0.01,FALSE,18.09894125,13.01178943,0.080169158,0.954566674
1,64,Sigmoid,Adam,0.03,TRUE,18.11723709,13.80782516,0.078770052,0.955350412
1,64,Sigmoid,Adam,0.01,TRUE,18.25875378,12.67356597,0.080370138,0.946638279
3,64,Sigmoid,Adam,0.03,TRUE,18.65577053,13.71767865,0.085491489,0.949148726
1,21,Sigmoid,Adam,0.03,TRUE,18.91868842,14.74367984,0.083101692,0.960482257
1,64,Sigmoid,Adam,0.003,FALSE,19.16440224,13.41539595,0.081578588,0.934724526
2,21,Sigmoid,RMSProp,0.03,FALSE,19.21858628,14.46601843,0.084102124,0.953507546
1,64,Sigmoid,Adam,0.01,FALSE,19.24411916,14.02307581,0.084288912,0.947138255
1,64,Sigmoid,RMSProp,0.003,TRUE,19.49965877,14.71334855,0.081941618,0.951197002
1,21,Sigmoid,RMSProp,0.01,FALSE,19.81210158,14.3068954,0.081698119,0.948774926
1,8,Sigmoid,Adam,0.1,TRUE,19.8149821,15.20915807,0.086518185,0.955969031
1,8,Sigmoid,Adam,0.01,TRUE,19.89978222,15.33694856,0.088854122,0.951812286
1,64,Sigmoid,RMSProp,0.003,FALSE,20.04126253,14.51386051,0.08981122,0.941938896
1,21,Sigmoid,Adam,0.01,TRUE,20.17475186,14.33844308,0.091832382,0.943387377
1,21,Sigmoid,RMSProp,0.01,TRUE,20.17892714,14.51105724,0.091008839,0.943142707
1,64,Sigmoid,Adam,0.003,TRUE,20.20525421,15.29576608,0.087781534,0.937320123
1,8,Sigmoid,RMSProp,0.01,TRUE,20.70344551,15.44717726,0.096054373,0.944598339
2,64,Sigmoid,Adam,0.003,TRUE,21.2021242,16.64764953,0.097195632,0.941388257
1,8,Sigmoid,RMSProp,0.1,TRUE,21.30806551,15.22631115,0.090964856,0.924918312
1,21,Sigmoid,RMSProp,0.003,TRUE,21.34573166,15.4549217,0.099875235,0.935524111
2,8,Sigmoid,RMSProp,0.01,TRUE,22.35375189,16.76757767,0.104961874,0.942694101
3,64,Sigmoid,RMSProp,0.01,TRUE,22.55555535,17.75042719,0.094264562,0.943970894
3,8,Sigmoid,Adam,0.1,TRUE,22.5567192,17.43951949,0.109481646,0.935650774
1,21,Sigmoid,Adam,0.03,FALSE,22.76556593,17.4799499,0.110428468,0.945038637
2,21,Sigmoid,RMSProp,0.01,TRUE,22.97474238,16.99263118,0.107147975,0.934778248
1,8,Sigmoid,Adam,0.03,FALSE,23.23997044,17.51200343,0.104772547,0.906979052
1,8,ReLU (Rectified Linear Unit),RMSProp,0.01,TRUE,23.71825365,16.29024096,0.100991626,0.921731592
2,21,Sigmoid,RMSProp,0.01,FALSE,23.72762427,17.64763496,0.111855967,0.92752229
1,21,Sigmoid,Adam,0.003,FALSE,23.76702842,17.93954284,0.109976708,0.902340116
3,64,Sigmoid,RMSProp,0.03,TRUE,24.05532913,19.69928326,0.107897188,0.926576512
1,64,Sigmoid,Adam,0.03,FALSE,24.2957407,18.75326915,0.108410111,0.921476886
1,8,Sigmoid,Adam,0.03,TRUE,24.36387048,18.67308294,0.108312719,0.910626081
